Label (Grouping),United States!!Total!!Estimate,United States!!Unemployment rate!!Estimate
Population 16 years and over,"269,555,318",4.30%
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
        Male,"97,737,826",4.00%
        Female,"96,593,036",4.00%
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
        Less than high school graduate,"16,768,327",6.50%
        High school graduate (includes equivalency),"42,722,358",4.90%
        Some college or associate's degree,"48,301,462",3.70%
        Bachelor's degree or higher,"64,092,675",2.10%
